animal name,has hair,has feathers,lays eggs,produces milk,is airborne,is aquatic,is predator,is toothed,has backbone,breathes,is venomous,has fins,how many legs,has tail,is domestic,is catsize,class type
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,Mammal
antelope,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,Mammal
bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,Fish
boar,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,Mammal
calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,Mammal
carp,False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,Fish
cavy,True,False,False,True,False,False,False,True,True,True,False,False,4,False,True,False,Mammal
chicken,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,Bird
clam,False,False,True,False,False,False,True,False,False,False,False,False,0,False,False,False,Invertebrate
crab,False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,Invertebrate
crayfish,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,Invertebrate
crow,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,Bird
dogfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,Fish
dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,Mammal
duck,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,Bird
flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,Bird
flea,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,Bug
frog,False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,Amphibian
frog,False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,Amphibian
fruitbat,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,Mammal
girl,True,False,False,True,False,False,True,True,True,True,False,False,2,False,True,True,Mammal
gnat,False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,Bug
gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,Mammal
gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,Bird
haddock,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,Fish
hamster,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,Mammal
hare,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,Mammal
honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,Bug
housefly,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,Bug
kiwi,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,False,Bird
ladybird,False,False,True,False,True,False,True,False,False,True,False,False,6,False,False,False,Bug
lark,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,Bird
mink,True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,Mammal
mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,Mammal
newt,False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,Amphibian
octopus,False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,Invertebrate
ostrich,False,True,True,False,False,False,False,False,True,True,False,False,2,True,False,True,Bird
penguin,False,True,True,False,False,True,True,False,True,True,False,False,2,True,False,True,Bird
pitviper,False,False,True,False,False,False,True,True,True,True,True,False,0,True,False,False,Reptile
platypus,True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,Mammal
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,Mammal
rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,Bird
scorpion,False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,Invertebrate
seal,True,False,False,True,False,True,True,True,True,True,False,True,0,False,False,True,Mammal
sealion,True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,Mammal
seasnake,False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,Reptile
seawasp,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,Invertebrate
slowworm,False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,Reptile
slug,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,Invertebrate
squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,Mammal
starfish,False,False,True,False,False,True,True,False,False,False,False,False,0,False,False,False,Invertebrate
stingray,False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,Fish
swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,Bird
toad,False,False,True,False,False,True,False,True,True,True,False,False,4,False,False,False,Amphibian
tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,Reptile
tuatara,False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,Reptile
vulture,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,Bird
wallaby,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,Mammal
wasp,True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,Bug
